mem_no	last_name	first_name	gd	birth_dt	entr_dt	grade	sign_up_ch
18466	정	하성	M	1988-03-11	2011-01-01	VVIP	01
18798	정	호정	F	1990-02-28	2013-03-09	VVIP	01
18434	황	성연	F	1971-04-04	2011-09-12	VIP	03
18772	홍	경빈	F	1971-07-06	2012-08-18	VIP	03
18326	조	우준	M	1972-05-08	2011-05-26	VIP	01
18743	홍	이수	M	1972-10-19	2013-10-06	VIP	03
18785	차	서하	M	1973-05-12	2011-05-22	VIP	01
18786	주	찬빈	M	1974-01-29	2012-06-20	VIP	03
18782	조	현영	F	1974-04-28	2011-06-15	VIP	03
18682	조	나림	F	1975-01-08	2013-08-10	VIP	07
18314	하	영민	M	1975-01-16	2011-11-06	VIP	07
18711	조	재경	F	1976-08-23	2013-12-27	VIP	03
18438	황	아인	M	1977-03-12	2011-12-21	VIP	01
18518	홍	창민	M	1978-07-15	2012-02-04	VIP	01
18689	한	지언	F	1979-03-22	2011-10-02	VIP	03
18715	차	동환	M	1980-01-22	2013-01-19	VIP	03
18683	조	재범	M	1981-02-15	2011-05-09	VIP	03
18717	허	주윤	F	1981-05-22	2012-06-14	VIP	07
18474	주	성재	M	1982-10-09	2013-06-24	VIP	03
18679	주	율하	F	1983-03-14	2011-04-08	VIP	03
18653	허	이은	F	1983-03-16	2013-04-12	VIP	03
18562	하	다원	M	1983-03-30	2012-04-15	VIP	01
18789	조	한빈	M	1983-03-30	2012-02-11	VIP	01
18546	조	유희	F	1983-03-31	2011-08-17	VIP	01
18757	조	유담	M	1983-07-22	2011-11-27	VIP	03
18510	황	가람	M	1984-05-30	2012-02-09	VIP	03
18754	한	혜선	F	1985-05-03	2012-10-20	VIP	03
18050	한	상현	M	1985-05-30	2013-06-26	VIP	03
18538	차	도이	F	1985-09-03	2011-07-02	VIP	03
18676	차	재원	F	1985-10-04	2013-10-17	VIP	01
18342	허	예리	F	1985-10-31	2012-12-24	VIP	03
18728	한	준상	M	1986-04-18	2011-11-08	VIP	02
18799	한	수영	M	1986-06-18	2012-12-01	VIP	03
18731	하	세경	F	1986-06-30	2013-09-24	VIP	03
18426	한	누리	F	1986-09-17	2013-01-11	VIP	02
18720	조	영찬	M	1986-12-22	2011-08-11	VIP	02
18654	한	다니엘	M	1987-02-04	2012-10-14	VIP	02
18765	황	은선	F	1987-02-22	2013-08-21	VIP	03
18710	하	찬유	M	1988-03-14	2012-12-08	VIP	03
18414	조	도겸	M	1988-09-14	2013-03-10	VIP	03
18740	차	민혜	F	1989-06-11	2012-12-14	VIP	03
18695	황	고운	F	1989-06-30	2011-11-21	VIP	03
18663	황	아준	M	1989-07-08	2012-01-09	VIP	03
18350	하	서경	F	1989-12-30	2013-08-21	VIP	05
18716	주	강	M	1991-05-31	2012-01-03	VIP	02
18736	황	도균	M	1992-05-22	2011-02-12	VIP	01
18651	조	규연	F	1992-06-23	2012-02-04	VIP	02
18747	조	연경	F	1992-06-28	2012-12-10	VIP	05
18534	하	진영	F	1992-07-14	2011-10-19	VIP	02
18666	하	은호	F	1992-07-14	2011-05-20	VIP	02
18362	홍	동혁	M	1992-11-22	2012-06-21	VIP	02
18700	홍	율희	F	1993-02-03	2011-01-19	VIP	02
18669	홍	진	M	1993-03-18	2012-06-26	VIP	07
18685	허	한솔	M	1993-06-10	2013-06-03	VIP	07
18394	조	예영	F	1993-06-11	2013-01-25	VIP	03
18378	황	다해	F	1993-08-03	2013-01-02	VIP	02
18741	주	세원	F	1994-02-15	2011-01-23	VIP	02
18490	한	선율	M	1994-02-18	2013-03-26	VIP	04
18322	주	대현	M	1994-08-01	2013-09-04	VIP	07
18623	조	예음	F	1994-08-16	2013-09-02	VIP	02
18790	허	채안	F	1995-02-17	2013-06-04	VIP	02
18761	허	예담	M	1995-08-30	2012-08-20	VIP	02
18382	홍	빛나	F	1996-02-16	2012-06-06	VIP	03
18636	황	민유	F	1997-01-06	2012-11-27	VIP	05
18638	조	동호	M	1997-01-08	2013-11-02	VIP	07
18642	홍	선민	F	1997-01-12	2012-01-23	VIP	04
18354	차	예람	F	1997-03-16	2013-05-03	VIP	02
18779	하	하빈	M	1997-04-02	2011-09-14	VIP	03
18627	장	이서	F	1970-01-08	2013-02-19	BRONZE	03
18759	백	근우	M	1970-01-08	2013-10-27	BRONZE	03
18675	양	환	M	1970-01-11	2011-07-08	BRONZE	03
18661	신	건영	M	1970-02-07	2011-12-15	BRONZE	01
18739	성	희영	F	1970-03-19	2011-05-04	BRONZE	03
18418	여	하루	F	1970-04-13	2013-02-12	BRONZE	01
18601	배	시형	M	1970-05-08	2013-12-18	BRONZE	01
18733	곽	주미	F	1970-05-08	2012-11-22	BRONZE	01
18677	손	도헌	M	1970-10-23	2013-02-06	BRONZE	03
18724	심	선주	F	1970-11-19	2013-03-16	BRONZE	01
18390	남	태성	M	1971-01-02	2012-11-30	BRONZE	01
18693	유	우재	M	1971-01-14	2012-11-08	BRONZE	01
18462	심	태오	M	1971-02-04	2012-07-09	BRONZE	01
18358	여	희서	F	1971-05-23	2011-12-06	BRONZE	03
18655	오	지수	M	1972-01-04	2013-04-05	BRONZE	03
18664	정	은교	F	1972-07-06	2012-03-25	BRONZE	01
18752	문	범수	M	1972-08-23	2011-02-15	BRONZE	01
18656	유	희선	F	1973-04-12	2013-09-19	BRONZE	01
18775	정	강준	M	1973-04-23	2012-04-19	BRONZE	01
